sep=;
name=mpwqe_non_xdp; type=feature; upstream_status=accepted;
name=pci_device_id; type=feature; upstream_status=accepted;
name=pci_suspend_resume_callbacks; type=feature; upstream_status=NA;
name=gcc_warn_fix; type=feature; upstream_status=NA;
name=utc; type=feature; upstream_status=in_progress;
name=255_ports_ib_core; type=feature; upstream_status=in_progress;
name=odp_eq; type=feature; upstream_status=in_progress;
name=mlx5e_shared_rq; type=feature; upstream_status=in_progress;
name=fs_drop_tx; type=feature; upstream_status=in_progress;
name=vf_metering; type=feature; upstream_status=NA;
